id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,GBfYy8Hh
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,IWmA9th2
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,D4EBVDGL
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,iDOAoaGF
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,GxWEpTBr
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,tThjcFZg
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,XTLmP97g
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,2wCfFKzX
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,jqqlNpvL
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,xcljD0kb
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,NM87eTfF
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,olzY9nZ9
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,o8W7YWqz
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,yWLDwmlt
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,s9rEG0e6
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,UVL2oBxc
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,WUVGaofl
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,Aj9tMKz3
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,izj6FivP
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,EHcXCz7z
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,37grANOm
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,9PQm14tf
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,0022IhsN
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,hU9kybEs
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,kFVom6aZ
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,wEMMLf1L
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,kT4GL4Rr
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,gBlyFEDV
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,U4ohT89V
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,VLVxJZUB
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,cBiyGNgf
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,UcKE5B6k
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,OiOFtnzT
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,RPCfb2oy
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,xnrJOqlI
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,xP2rlA5Q
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,cuuhbMma
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,L4vD1qD3
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,StZ8tyOO
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,63sSO2DT
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,ssL6IlgI
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,ustjnFiA
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,4hzn6rj0
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,uaj7Oud8
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,ED125Sas
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,sfVD0w6K
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,x89VBJiA
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,iujLYYrd
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,eJswTGHH
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,42625x2v
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,WWU4jxxH
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,Vr6GN8gx
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,8RdqLEIP
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,XrD2ydG7
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,cd3pCSfR
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,dyCb8RNU
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,joh8UKmj
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,ac0TVVR4
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,gLMY6Emh
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,gckqkgWq
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,mpROVm9i
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,g69nISL5
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,AOMhjq6q
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,mue7LKol
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,8OnW9y1I
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,kWzqtAzU
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,s5Uzd435
67,Остюков Артур Романович,329,11и,3,Остюков_АР,CYdsjGrS
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,qw3weAeM
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,1Kh8NULU
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,TENUDONl
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,yIz2I2YM
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,mcZvglMj
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,UB8DfTcC
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,jj7v0PFO
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,24LXreUP
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,clTveOo4
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,yOk8CB8x
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,GE1qMwe4
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,S51gNCZs
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,Ak5l260X
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,a6kbVS0l
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,od9OjyYK
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,MzZgS21o
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,B0AvLskp
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,JEgSrcMu
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,YeXDLv4i
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,ltX0pH4s
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,ZdJ34flS
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,Leqffmio
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,IqQ4g112
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,BGE43Pk2
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,qkod7pqh
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,QsKgAvBk
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,BBpvDEUD
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,ope0rTr3
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,XJZhrM4G
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,yPogVojh
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,kfm6vE8i
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,Z84bsEj8
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,VnhU5EFs
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,ozJx0j1h
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,XW3Us85v
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,qLOaHZak
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,62PfsJhQ
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,4XThCe2E
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,nUPn98Tm
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,P6ZiNCFe
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,KDA8e7RB
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,r5XE1jFS
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,dbeOWtiq
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,l1Vv02hT
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,cDvo1VfT
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,eIszNiBE
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,529ZyNq5
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,3BNgXV5S
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,AaLZP3Pv
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,DBdoKApK
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,2KB9A18h
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,KU3IyaZ5
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,yKtKDBgL
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,WEuJau0j
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,KHlYADSN
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,5jGXtuDA
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,ZgvpGVcn
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,QPa3OaHP
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,vdzkOMiW
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,0qXwnr7a
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,GT7Brvcc
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,FUccEjSq
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,OtHcMWsS
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,Psx0eb7C
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,DyU4TEWF
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,qj7DQ7Nn
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,qP6wsoyi
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,IAWBj6yA
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,PL6XePUQ
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,DWvlhNsU
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,HpysxFDW
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,aEGj52gn
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,MOzyiBx4
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,RImgioFB
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,icCmOujr
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,FD4IIYV2
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,CI1MVPOO
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,OurvaDD5
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,dPgAXKP4
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,n2QpUqYW
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,7vfrLSte
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,eQymz3wR
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,TEcuPDM3
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,Z89TkdLs
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,IX2LoeZb
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,VT1RjqtF
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,TDiJGMae
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,3MCKHkW0
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,oh6WXgxG
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,8aUUjM76
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,PL4pzBOS
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,97tEBVwi
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,3qm3tvDh
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,6YpwbUDm
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,66nxQYtL
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,0TExsHjW
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,E0r9jRMf
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,uQpGhV6A
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,TQqnaN0Q
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,LkqtIHgk
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,DiUbn0Mz
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,WwfeCstr
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,EmouCntC
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,XvRdRzDV
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,S4bXfzNN
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,4LU3DHqd
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,52WL4DGh
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,ioz6xbhY
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,u3yOJGr7
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,JAsQQyOe
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,EYmRVIGm
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,QOqweCEX
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,fsvlP99n
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,Qq9LPowt
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,ty7hIJ7K
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,8r29HxKw
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,bwvMI2dH
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,wHH9nJmM
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,jvDQhlEY
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,dWJBAfKK
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,kKjm7bke
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,xtLjXHc4
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,yMztZyaa
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,1NhO0W5x
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,FvWVUVZn
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,fSxafG9n
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,LDcpGlJD
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,nMxGe14A
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,oWCblMW9
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,bx0SQ4ou
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,B7AwWL0e
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,4w1cbDYl
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,dywUu1qy
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,eXTyShpQ
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,71hCOlYD
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,96SmUUAz
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,cvOikZMw
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,LdqqYaXi
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,bh49Snrt
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,qqkktjTX
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,NP2Mjlxp
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,SFetLspb
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,KAkXCrDB
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,04KgKsx4
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,mVjhSb6z
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,UITNQiWE
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,W52rwoQK
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,9RFXxo2U
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,qrwP81qP
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,SbOeiAHb
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,gOTPpuLR
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,CcBKeeMr
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,B70BZCi0
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,N0Z4XCtA
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,bITJCEX6
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,lApxundM
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,yH1LSGRI
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,rwEfDzby
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,QBFSWMRh
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,ehjol9N4
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,Ck6MbxP1
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,ek8iqTFI
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,Vpg4kxPo
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,oIQDV5CV
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,zmCZJ8uJ
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,ZS9kwQwe
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,ZmMJMTwk
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,PflklCSA
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,g21bHQeN
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,6eyg4uFY
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,4xArD8Xm
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,7cOco9im
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,rB0j0edL
